exp,model_type,target_type,condition,model,surp
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.014932513236999512
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.0050966739654541016
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.011116862297058105
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.0009114742279052734
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.0023343563079833984
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.06370806694030762
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.24140715599060059
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-0.47321462631225586
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.6627695560455322
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.6324338912963867
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-1.6078227758407593
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-0.363112211227417
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.589083194732666
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-1.7573225498199463
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.5951004028320312
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,0.07839083671569824
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.8721809387207031
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-1.376063585281372
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.5516331195831299
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.08906745910644531
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.007460355758666992
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.0009187459945678711
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.005947470664978027
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-0.001890420913696289
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.00012373924255371094
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.08053827285766602
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,-0.07878756523132324
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,-0.35140538215637207
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.2384638786315918
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.2590968608856201
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,1.5642815828323364
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,2.4699424505233765
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,1.9801994562149048
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,2.139885663986206
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,2.0032427310943604
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,2.4714457988739014
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,2.6380138397216797
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,2.0695204734802246
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,2.818308115005493
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,2.5575075149536133
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,8.7738037109375e-05
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-0.018677234649658203
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.012888908386230469
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.011174678802490234
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.021040916442871094
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.40950775146484375
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,0.006667137145996094
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.09974861145019531
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.4914121627807617
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.4069786071777344
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.41571998596191406
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.6088733673095703
