model_type,surp
shuffled,13.429108023643494
ordered,8.446711540222168
shuffled,10.318628668785095
ordered,9.306806087493896
shuffled,10.058546900749207
ordered,10.762380123138428
shuffled,9.306330800056458
ordered,8.981301069259644
shuffled,6.072879791259766
ordered,11.250479578971863
shuffled,13.430310368537903
ordered,9.012436866760254
shuffled,10.327810645103455
ordered,10.820322513580322
shuffled,10.054779291152954
ordered,10.975485682487488
shuffled,9.308212995529175
ordered,10.132458806037903
shuffled,6.074689507484436
ordered,11.997860670089722
shuffled,10.265879392623901
ordered,13.96357810497284
shuffled,14.14914071559906
ordered,13.670513033866882
shuffled,13.22625070810318
ordered,15.850009083747864
shuffled,9.725959420204163
ordered,13.00755763053894
shuffled,16.660809218883514
ordered,14.858141303062439
shuffled,10.260668158531189
ordered,15.1974618434906
shuffled,14.168479084968567
ordered,15.391268253326416
shuffled,13.227792501449585
ordered,17.080414652824402
shuffled,9.73451542854309
ordered,15.586508214473724
shuffled,16.654133021831512
ordered,15.233736991882324
shuffled,8.070695638656616
ordered,5.984714031219482
shuffled,6.4990715980529785
ordered,6.3860719203948975
shuffled,7.324490427970886
ordered,6.711633205413818
shuffled,4.940060615539551
ordered,5.6563146114349365
shuffled,7.274061679840088
ordered,7.076961040496826
shuffled,8.072994709014893
ordered,6.824313640594482
shuffled,6.506296277046204
ordered,9.458949089050293
shuffled,7.319352746009827
ordered,7.553065538406372
shuffled,4.9409942626953125
ordered,6.538841485977173
shuffled,7.2811890840530396
ordered,7.923851013183594
shuffled,2.8260183334350586
ordered,6.783263206481934
shuffled,5.1807719469070435
ordered,3.0475205183029175
shuffled,5.65484881401062
ordered,3.492233395576477
shuffled,3.5043537616729736
ordered,3.2637380361557007
shuffled,6.984264373779297
ordered,3.3416476249694824
shuffled,2.83078932762146
ordered,6.5924893617630005
shuffled,5.1876667737960815
ordered,3.8738573789596558
shuffled,5.644647002220154
ordered,3.446154832839966
shuffled,3.5127676725387573
ordered,3.9218766689300537
shuffled,6.996294379234314
ordered,3.8203452825546265
shuffled,7.195418000221252
ordered,4.36024022102356
shuffled,2.7997156381607056
ordered,5.953089356422424
shuffled,5.646374821662903
ordered,4.581378936767578
shuffled,6.150087118148804
ordered,8.500905275344849
shuffled,5.988723158836365
ordered,1.857583999633789
shuffled,7.195230603218079
ordered,4.0075843334198
shuffled,2.8054102659225464
ordered,9.614134430885315
shuffled,5.645488142967224
ordered,6.404471039772034
shuffled,6.152730584144592
ordered,7.973888278007507
shuffled,5.998059630393982
ordered,3.9964401721954346
shuffled,4.606632351875305
ordered,6.083151578903198
shuffled,6.903996825218201
ordered,7.44416069984436
shuffled,5.569228410720825
ordered,3.482071876525879
shuffled,6.256343245506287
ordered,5.615063786506653
shuffled,5.318987607955933
ordered,4.761873960494995
shuffled,4.602067708969116
ordered,8.301571130752563
shuffled,6.925106763839722
ordered,8.994642734527588
shuffled,5.578043460845947
ordered,6.307849884033203
shuffled,6.25575315952301
ordered,8.947205424308777
shuffled,5.338603973388672
ordered,7.6004204750061035
shuffled,5.876038551330566
ordered,4.629973530769348
shuffled,6.54550039768219
ordered,6.877454161643982
shuffled,7.64979362487793
ordered,6.684983134269714
shuffled,9.498212575912476
ordered,3.036320209503174
shuffled,5.668531179428101
ordered,7.413565039634705
shuffled,5.865816235542297
ordered,5.113442420959473
shuffled,6.549505829811096
ordered,7.983032703399658
shuffled,7.621443390846252
ordered,7.34044337272644
shuffled,9.492088437080383
ordered,3.694969058036804
shuffled,5.6706202030181885
ordered,8.8203866481781
shuffled,7.448476672172546
ordered,8.84538608789444
shuffled,10.301251292228699
ordered,8.706105589866638
shuffled,10.589413523674011
ordered,7.971214175224304
shuffled,9.806097507476807
ordered,11.679731011390686
shuffled,7.2248146533966064
ordered,8.096142888069153
shuffled,7.454863786697388
ordered,10.080252528190613
shuffled,10.30949854850769
ordered,10.896978497505188
shuffled,10.583454489707947
ordered,9.262158870697021
shuffled,9.809434056282043
ordered,14.737906336784363
shuffled,7.23134982585907
ordered,10.379127621650696
shuffled,12.364465296268463
ordered,8.27945852279663
shuffled,12.852066338062286
ordered,9.565592885017395
shuffled,14.061201512813568
ordered,7.389348268508911
shuffled,11.754889130592346
ordered,8.989625632762909
shuffled,11.702821969985962
ordered,8.290794134140015
shuffled,12.365369081497192
ordered,11.849953532218933
shuffled,12.858731150627136
ordered,14.373362064361572
shuffled,14.05730676651001
ordered,11.183533310890198
shuffled,11.75303590297699
ordered,12.183844149112701
shuffled,11.7101970911026
ordered,11.85196042060852
shuffled,5.841872453689575
ordered,2.4680094718933105
shuffled,3.954782724380493
ordered,3.217467188835144
shuffled,6.476685643196106
ordered,3.9992828369140625
shuffled,5.448842167854309
ordered,3.6103157997131348
shuffled,3.5688443183898926
ordered,2.166116952896118
shuffled,5.843406677246094
ordered,3.2777771949768066
shuffled,3.9470090866088867
ordered,4.399795651435852
shuffled,6.452836036682129
ordered,3.6381114721298218
shuffled,5.451595664024353
ordered,3.68587064743042
shuffled,3.573940396308899
ordered,2.9365148544311523
shuffled,11.443242728710175
ordered,11.328043103218079
shuffled,12.33426547050476
ordered,10.337491631507874
shuffled,7.367879748344421
ordered,14.232533931732178
shuffled,9.068433225154877
ordered,10.705159425735474
shuffled,11.980336368083954
ordered,10.52769923210144
shuffled,11.4448202252388
ordered,13.89319622516632
shuffled,12.338224112987518
ordered,12.26530373096466
shuffled,7.363467216491699
ordered,15.761741757392883
shuffled,9.06488424539566
ordered,13.226309299468994
shuffled,11.983140647411346
ordered,13.32655119895935
shuffled,10.162614792585373
ordered,10.325622320175171
shuffled,8.523441523313522
ordered,7.7911297082901
shuffled,11.066072940826416
ordered,8.411319315433502
shuffled,11.79653000831604
ordered,6.391536295413971
shuffled,9.808196008205414
ordered,7.255530476570129
shuffled,10.156807571649551
ordered,12.345409095287323
shuffled,8.530836522579193
ordered,10.079350113868713
shuffled,11.05366626381874
ordered,11.223116934299469
shuffled,11.803424000740051
ordered,9.683230578899384
shuffled,9.801450073719025
ordered,9.445684731006622
shuffled,5.638779520988464
ordered,4.297344207763672
shuffled,3.3522876501083374
ordered,4.618820548057556
shuffled,5.807837605476379
ordered,2.414775252342224
shuffled,6.8976969718933105
ordered,3.4562430381774902
shuffled,7.241286277770996
ordered,3.648136258125305
shuffled,5.6401538252830505
ordered,7.047818183898926
shuffled,3.3710739612579346
ordered,7.573041796684265
shuffled,5.810683369636536
ordered,4.9722630977630615
shuffled,6.893199324607849
ordered,7.454042673110962
shuffled,7.255669474601746
ordered,6.826317310333252
shuffled,10.71085238456726
ordered,7.749573826789856
shuffled,9.680513083934784
ordered,8.461047112941742
shuffled,10.849524706602097
ordered,10.302882701158524
shuffled,10.951935768127441
ordered,8.859898835420609
shuffled,7.914099752902985
ordered,9.188434064388275
shuffled,10.716276228427887
ordered,9.616533160209656
shuffled,9.71165058016777
ordered,10.141422510147095
shuffled,10.85211369395256
ordered,12.011418163776398
shuffled,10.962777763605118
ordered,11.839872747659683
shuffled,7.916951149702072
ordered,10.180630922317505
shuffled,13.288495302200317
ordered,6.281434535980225
shuffled,7.904006481170654
ordered,8.207763433456421
shuffled,8.94102656841278
ordered,9.831842422485352
shuffled,9.9248605966568
ordered,6.010796546936035
shuffled,9.890183091163635
ordered,7.067964196205139
shuffled,13.278661966323853
ordered,7.3028212785720825
shuffled,7.908502578735352
ordered,9.899848580360413
shuffled,8.943687319755554
ordered,10.965261101722717
shuffled,9.92684519290924
ordered,7.050522327423096
shuffled,9.896992087364197
ordered,7.8462618589401245
shuffled,11.63752007484436
ordered,9.312761902809143
shuffled,8.582838892936707
ordered,8.720720291137695
shuffled,8.677954196929932
ordered,7.316426157951355
shuffled,8.18510639667511
ordered,9.910485744476318
shuffled,7.842958211898804
ordered,5.950441360473633
shuffled,11.64316612482071
ordered,8.889692544937134
shuffled,8.581459641456604
ordered,9.789507865905762
shuffled,8.68934190273285
ordered,8.56731116771698
shuffled,8.179136633872986
ordered,11.206698894500732
shuffled,7.833907723426819
ordered,8.069989919662476
shuffled,7.228418707847595
ordered,4.065146207809448
shuffled,4.940863251686096
ordered,7.3184332847595215
shuffled,7.0651854276657104
ordered,4.750908017158508
shuffled,7.851086854934692
ordered,6.559269905090332
shuffled,6.924735188484192
ordered,4.618387222290039
shuffled,7.22645366191864
ordered,3.7235183715820312
shuffled,4.946865916252136
ordered,7.472777009010315
shuffled,7.041301369667053
ordered,4.823925256729126
shuffled,7.849204182624817
ordered,6.343394994735718
shuffled,6.927438139915466
ordered,4.863604545593262
shuffled,11.08158254623413
ordered,12.46212375164032
shuffled,11.948890686035156
ordered,12.166498064994812
shuffled,10.45114016532898
ordered,8.5649733543396
shuffled,11.40237307548523
ordered,9.301255106925964
shuffled,7.982151985168457
ordered,8.943597555160522
shuffled,11.082292199134827
ordered,12.066667199134827
shuffled,11.946939706802368
ordered,12.199010848999023
shuffled,10.464459419250488
ordered,8.52457594871521
shuffled,11.414443850517273
ordered,9.326628684997559
shuffled,7.948203802108765
ordered,9.581575393676758
shuffled,5.641566783189774
ordered,10.70850259065628
shuffled,9.071769207715988
ordered,7.154856443405151
shuffled,8.230529993772507
ordered,4.234025835990906
shuffled,9.26036411523819
ordered,5.019271731376648
shuffled,7.531264245510101
ordered,3.5213226079940796
shuffled,5.657386541366577
ordered,10.042114913463593
shuffled,9.073721885681152
ordered,7.683836102485657
shuffled,8.21348837018013
ordered,3.989742398262024
shuffled,9.255162060260773
ordered,4.148615300655365
shuffled,7.532999217510223
ordered,3.946196973323822
shuffled,7.540992736816406
ordered,8.08562970161438
shuffled,6.150900840759277
ordered,6.743142127990723
shuffled,7.986479997634888
ordered,7.234637498855591
shuffled,7.678722143173218
ordered,3.37353777885437
shuffled,6.037800550460815
ordered,4.623849153518677
shuffled,7.5343286991119385
ordered,7.974192380905151
shuffled,6.137627124786377
ordered,6.75149941444397
shuffled,8.011053562164307
ordered,7.256053447723389
shuffled,7.681454658508301
ordered,3.3806562423706055
shuffled,6.0605385303497314
ordered,4.4825050830841064
shuffled,10.29845416545868
ordered,5.12247359752655
shuffled,3.6452908515930176
ordered,7.413587808609009
shuffled,8.483871936798096
ordered,3.949435591697693
shuffled,5.003951907157898
ordered,6.994824171066284
shuffled,6.202866554260254
ordered,2.5368350744247437
shuffled,10.303511142730713
ordered,4.952431321144104
shuffled,3.6478078365325928
ordered,7.217823505401611
shuffled,8.4783273935318
ordered,3.783952832221985
shuffled,5.008355140686035
ordered,7.05083692073822
shuffled,6.181941866874695
ordered,2.972022294998169
shuffled,11.599727153778076
ordered,17.958754181861877
shuffled,10.233088970184326
ordered,13.021424770355225
shuffled,10.13155972957611
ordered,12.445873260498047
shuffled,11.705357074737549
ordered,13.902645230293274
shuffled,11.647783517837524
ordered,11.985946655273438
shuffled,11.60682487487793
ordered,17.78310865163803
shuffled,10.230220556259155
ordered,13.101327300071716
shuffled,10.136117577552795
ordered,12.23733675479889
shuffled,11.711609125137329
ordered,13.912558317184448
